分组,队伍,号码,姓名,英文名,位置,出生日期,7m球员ID,备注
J,约旦,1,亚奇德·阿布拉伊拉,Yazid Moeen Hasan Abu Layla,守门员,1993-1-8,,
J,约旦,12,诺雷丁·阿特亚赫,Noureddin Ateyah,守门员,1993-1-25,,
J,约旦,22,阿尔法库里,Abdallah Al Fakhouri,守门员,2000-1-22,,
J,阿尔及利亚,2,埃萨·曼迪,Aissa Mandi,后卫,1991-10-22,,
J,阿尔及利亚,3,阿赫里夫·阿巴达,Achref Abada,后卫,1999-6-15,,
J,阿尔及利亚,4,穆罕默德·图盖,Mohamed Tougai,后卫,2000-1-22,,
J,阿尔及利亚,5,齐内丁·贝莱德,Zineddine Belaid,后卫,1999-3-20,,
J,阿尔及利亚,13,乔奥恩·哈德赞,Jaouen Hadjam,后卫,2003-3-26,,
J,阿尔及利亚,15,艾特·努里,Rayan Ait Nouri,后卫,2001-6-6,,
J,阿尔及利亚,17,贝尔加利,Rafik Belghali,后卫,2002-6-7,,
J,阿尔及利亚,21,本塞拜尼,Ramy Bensebaini,后卫,1995-4-16,,
J,阿尔及利亚,26,萨米尔·切尔古伊,Samir Chergui,后卫,1999-2-6,,
J,阿尔及利亚,6,拉米兹·泽鲁基,Ramiz Zerrouki,中场,1998-5-26,,
J,阿尔及利亚,8,奥亚尔,Houssem Aouar,中场,1998-6-30,,
J,阿尔及利亚,10,费雷斯·柴比,Fares Chaibi,中场,2002-11-28,,
J,阿尔及利亚,14,鲍达乌,Hichem Boudaoui,中场,1999-9-23,,
J,阿尔及利亚,19,本塔莱布,Nabil Bentaleb,中场,1994-11-24,,
J,阿尔及利亚,22,易卜拉欣·马扎,Ibrahim Maza,中场,2005-11-24,,
J,阿尔及利亚,24,亚辛·蒂特拉维,Yacine Titraoui,中场,2003-7-26,,
J,阿尔及利亚,7,马赫雷斯,Riyad Mahrez,前锋,1991-2-21,,
J,阿尔及利亚,9,高尔利,Amine Gouiri,前锋,2000-2-16,,
J,阿尔及利亚,11,阿尼斯·穆萨,Anis Hadj Moussa,前锋,2002-2-11,,
J,阿尔及利亚,12,纳迪尔·本布利,Nadir Benbouali,前锋,2000-4-17,,
J,阿尔及利亚,18,穆罕默德·阿穆拉,Mohamed Amoura,前锋,2000-5-9,,
J,阿尔及利亚,20,阿迪勒·布勒比纳,Adil Boulbina,前锋,2003-5-2,,
J,阿尔及利亚,25,盖杰米,Fares Ghedjemis,前锋,2002-9-6,,
J,阿尔及利亚,1,梅尔文·马斯蒂尔,Melvin Mastil,守门员,2000-2-19,,
J,阿尔及利亚,16,奥萨马·本布,Oussama Benbout,守门员,1994-10-11,,
J,阿尔及利亚,23,卢卡·齐达内,Luca Zidane Fernandez,守门员,1998-5-13,,
J,阿根廷,,马科斯·塞内西,Marcos Senesi,后卫,1997-5-10,,
J,阿根廷,3,塔里亚菲科,Nicolas Alejandro Tagliafico,后卫,1992-8-31,,
J,阿根廷,4,蒙铁尔,Gonzalo Ariel Montiel,后卫,1997-1-1,,
J,阿根廷,6,利桑德罗·马丁内斯,Lisandro Martinez,后卫,1998-1-18,,
J,阿根廷,13,罗梅罗,Cristian Romero,后卫,1998-4-27,,
J,阿根廷,19,奥塔门迪,Nicolas Hernan Gonzalo Otamendi,后卫,1988-2-12,,
J,阿根廷,25,梅迪纳,Facundo Medina,后卫,1999-5-28,,
J,阿根廷,26,莫利纳,Nahuel Molina Lucero,后卫,1998-4-6,,
J,阿根廷,5,帕雷德斯,Leandro Daniel Paredes,中场,1994-6-29,,
J,阿根廷,7,德保罗,,中场,1994-5-24,,
J,阿根廷,8,瓦伦丁·巴科,Valentin Barco,中场,2004-7-23,,
J,阿根廷,11,洛塞尔索,Giovani Lo Celso,中场,1996-4-9,,
J,阿根廷,14,帕拉西奥斯,Exequiel Palacios,中场,1998-10-5,,
J,阿根廷,18,尼科·帕斯,Nicolas Paz Martinez,中场,2004-9-8,,
J,阿根廷,20,麦卡利斯特,Alexis Mac Allister,中场,1998-12-24,,
J,阿根廷,24,恩佐·费尔南德斯,Enzo Jeremias Fernandez,中场,2001-1-17,,
J,阿根廷,9,阿尔瓦雷斯,Julian Alvarez,前锋,2000-1-31,,
J,阿根廷,10,梅西,Lionel Andres Messi Cuccittini,前锋,1987-6-24,,
J,阿根廷,15,尼克拉斯·冈萨雷斯,Nicolas Ivan Gonzalez,前锋,1998-4-6,,
J,阿根廷,16,阿尔马达,Thiago Almada,前锋,2001-4-26,,
J,阿根廷,17,朱利亚诺·西蒙尼,Giuliano Simeone,前锋,2002-12-18,,
J,阿根廷,21,何塞·洛佩斯,Jose Manuel Lopez,前锋,2000-12-6,,
J,阿根廷,22,劳塔罗·马丁内斯,Lautaro Javier Martinez,前锋,1997-8-22,,
J,阿根廷,1,胡安·穆索,Juan Musso,守门员,1994-5-6,,
J,阿根廷,12,鲁利,Geronimo Rulli,守门员,1992-5-20,,
J,阿根廷,23,马丁内斯,Damian Emiliano Martinez,守门员,1992-9-2,,
K,乌兹别克斯坦,2,阿卜杜卡迪尔·胡桑诺夫,Abdukodir Khusanov,后卫,2004-2-29,,
K,乌兹别克斯坦,3,霍吉阿克巴尔·阿里若诺夫,Khojiakbar Alijonov,后卫,1997-4-19,,
K,乌兹别克斯坦,4,赛义费耶夫,Farrukh Sayfiev,后卫,1991-1-17,,
K,乌兹别克斯坦,5,阿舒尔马托夫,Rustamjon Ashurmatov,后卫,1996-7-7,,
K,乌兹别克斯坦,13,纳斯鲁拉耶夫,Sherzod Nasrulloev,后卫,1998-7-23,,
K,乌兹别克斯坦,15,埃斯姆拉多夫,Umar Eshmuradov,后卫,1992-11-30,,
K,乌兹别克斯坦,18,阿卜杜拉耶夫,Abdulla Abdullaev,后卫,1997-9-1,,
K,乌兹别克斯坦,24,卡里莫夫,Bekhruzdzhon Karimov,后卫,2007-8-7,,
K,乌兹别克斯坦,25,乌尔马萨列夫,Avazbek Ulmasaliev,后卫,2000-3-27,,
K,乌兹别克斯坦,26,贾汉吉尔·乌罗佐夫,Jakhongir Urozov,后卫,2004-1-18,,
K,乌兹别克斯坦,6,莫兹戈沃伊,Akmal Mozgovoy,中场,1999-4-2,,
K,乌兹别克斯坦,7,舒库罗夫,Otabek Shukurov,中场,1996-6-22,,
K,乌兹别克斯坦,8,伊斯坎德罗夫,Djamshid Iskandarov,中场,1993-10-16,,
K,乌兹别克斯坦,9,哈姆罗贝科夫,Odiljon Hamrobekov,中场,1996-2-13,,
K,乌兹别克斯坦,11,奥斯顿·乌鲁诺夫,Oston Urunov,中场,2000-12-19,,
K,乌兹别克斯坦,19,阿齐兹琼·加涅夫,Azizjon Ganiev,中场,1998-2-22,,
K,乌兹别克斯坦,22,法伊祖拉耶夫,Abbosbek Fayzullayev,中场,2003-10-3,,
K,乌兹别克斯坦,23,谢尔佐德·伊萨诺夫,Sherzod Esanov,中场,2003-2-1,,
K,乌兹别克斯坦,10,马沙里波夫,Jaloliddin Masharipov,前锋,1993-9-1,,
K,乌兹别克斯坦,14,肖穆罗多夫,Eldor Shomurodov,前锋,1995-6-29,,
K,乌兹别克斯坦,17,哈姆达莫夫,Dostonbek Khamdamov,前锋,1996-7-24,,
K,乌兹别克斯坦,20,阿齐兹贝克·阿莫诺夫,Azizbek Amonov,前锋,1997-10-30,,
K,乌兹别克斯坦,21,谢尔盖耶夫,Igor Sergeev,前锋,1993-4-30,,
K,乌兹别克斯坦,1,乌特基尔·尤斯波夫,Utkir Yusupov,守门员,1991-1-4,,
K,乌兹别克斯坦,12,阿杜瓦希德·内马托夫,Abduvakhid Nematov,守门员,2001-3-20,,
K,乌兹别克斯坦,16,叶尔加舍夫,Botir Ergashev,守门员,1995-6-23,,
K,哥伦比亚,2,丹尼尔·穆尼奥斯,Daniel Munoz Mejia,后卫,1996-5-26,,
K,哥伦比亚,3,卢库米,Jhon Janer Lucumi Bonilla,后卫,1998-6-26,,
K,哥伦比亚,4,阿里亚斯,Santiago Arias Naranjo,后卫,1992-1-13,,
K,哥伦比亚,13,米纳,Yerry Fernando Mina Gonzalez,后卫,1994-9-23,,
K,哥伦比亚,17,约翰·莫希卡,Johan Andres Mojica Palacio,后卫,1992-8-21,,
K,哥伦比亚,18,威勒·迪塔,Willer Emilio Ditta Perez,后卫,1998-1-23,,
K,哥伦比亚,22,迪弗·马查多,Deiver Andres Machado Mena,后卫,1993-9-2,,
K,哥伦比亚,23,达文森·桑切斯,Davinson Sanchez Mina,后卫,1996-6-12,,
K,哥伦比亚,5,凯文·卡斯塔尼奥,Kevin Duvan Castano Gil,中场,2000-9-29,,
K,哥伦比亚,6,理查德·里奥斯,Richard Rios Montoya,中场,2000-6-2,,
K,哥伦比亚,8,卡拉斯卡尔,Jorge Andres Carrascal Guardo,中场,1998-5-25,,
K,哥伦比亚,10,哈梅斯·罗德里格斯,James David Rodriguez Rubio,中场,1991-7-12,,
K,哥伦比亚,14,古斯塔沃·普埃尔塔,Gustavo Puerta,中场,2003-7-23,,
K,哥伦比亚,15,波尔蒂利亚,Juan Camilo Portilla Orozco,中场,1998-9-12,,
K,哥伦比亚,16,莱尔马,Jefferson Andres Lerma Solis,中场,1994-10-25,,
K,哥伦比亚,20,胡安·金特罗,Juan Fernando Quintero Paniagua,中场,1993-1-18,,
K,哥伦比亚,21,坎帕斯,Jaminton Leandro Campaz,中场,2000-5-24,,
K,哥伦比亚,7,路易斯·迪亚斯,Luis Fernando Diaz Marulanda,前锋,1997-1-13,,
K,哥伦比亚,9,科尔多瓦,Jhon Cordoba,前锋,1993-5-11,,
K,哥伦比亚,11,阿里亚斯,Jhon Adolfo Arias Andrade,前锋,1997-9-21,,
K,哥伦比亚,19,库乔·埃尔南德斯,Cucho Hernandez,前锋,1999-4-20,,
K,哥伦比亚,25,苏亚雷斯,Luis Javier Suarez Charris,前锋,1997-12-2,,
K,哥伦比亚,26,卡洛斯·戈麦斯,Carlos Andres Gomez Hinestroza,前锋,2002-9-12,,
K,哥伦比亚,1,奥斯皮纳,David Ospina,守门员,1988-8-31,,
K,哥伦比亚,12,卡米洛·巴尔加斯,Camilo Andres Vargas Gil,守门员,1989-3-9,,
K,哥伦比亚,24,阿尔瓦罗·蒙特罗,Alvaro David Montero Perales,守门员,1995-3-29,,
K,民主刚果,2,万·比萨卡,Aaron Wan Bissaka,后卫,1997-11-26,,
K,民主刚果,3,史蒂夫·卡普阿迪,Steve Kapuadi,后卫,1998-4-30,,
K,民主刚果,4,图安泽贝,Axel Tuanzebe,后卫,1997-11-14,,
K,民主刚果,5,巴图宾西卡,Dylan Batubinsika,后卫,1996-2-15,,
K,民主刚果,12,卡延贝,Joris Kayembe Ditu Joris Ditu,后卫,1994-8-8,,
K,民主刚果,22,姆本巴,Chancel Mbemba Mangulu,后卫,1994-8-8,,
K,民主刚果,24,盖迪恩·卡卢卢,Gedeon Kalulu,后卫,1997-8-29,,
K,民主刚果,26,马苏亚库,Fuka Arthur Masuaku,后卫,1993-11-7,,
K,民主刚果,6,穆考,Ngal Ayel Mukau,中场,2004-11-3,,
K,民主刚果,8,穆图萨米,Samuel Moutoussamy,中场,1996-8-12,,
K,民主刚果,11,卡库塔,Gael Kakuta,中场,1991-6-21,,
K,民主刚果,14,诺亚·萨迪基,Noah Sadiki,中场,2004-12-17,,
K,民主刚果,15,齐博拉,Aaron Tshibola,中场,1995-1-2,,
K,民主刚果,18,皮克尔,Charles Pickel,中场,1997-5-15,,
K,民主刚果,25,卡延贝,Edo Kayembe,中场,1998-6-3,,
K,民主刚果,7,姆布库,Nathanael Mbuku,前锋,2002-3-16,,
K,民主刚果,9,布瑞恩·奇彭加,Brian Cipenga,前锋,1998-3-11,,
K,民主刚果,10,邦贡达,Theo Bongonda,前锋,1995-11-20,,
K,民主刚果,13,梅沙克·埃利亚,Meschack Elia Lina,前锋,1997-8-6,,
K,民主刚果,17,巴坎布,Cedric Bakambu,前锋,1991-4-11,,
K,民主刚果,19,菲斯顿·马耶勒,Fiston Mayele,前锋,1994-6-24,,
K,民主刚果,20,维萨,Yoane Wissa,前锋,1996-9-3,,
K,民主刚果,23,西蒙·班扎,Simon Bokote Banza,前锋,1996-8-13,,
K,民主刚果,1,莱昂内尔·姆帕西,,守门员,1994-8-1,,
K,民主刚果,16,蒂莫西·法尤鲁,Timothy Fayulu,守门员,1999-7-24,,
K,民主刚果,21,马修·埃波洛,Matthieu Epolo,守门员,2005-1-15,,
K,葡萄牙,2,塞梅多,Nelson Cabral Semedo,后卫,1993-11-16,,
K,葡萄牙,3,鲁本·迪亚斯,Ruben Santos Gato Alves Dias,后卫,1997-5-14,,
K,葡萄牙,4,托马斯·阿劳霍,Tomas Lemos Araujo,后卫,2002-5-16,,
K,葡萄牙,5,达洛特,Jose Diogo Dalot Teixeira,后卫,1999-3-18,,
K,葡萄牙,13,雷纳托·韦加,Renato Palma Veiga,后卫,2003-7-29,,
K,葡萄牙,14,贡萨洛·伊纳西奥,Goncalo Bernardo Inacio,后卫,2001-8-25,,
K,葡萄牙,20,坎塞洛,Joao Pedro Cavaco Cancelo,后卫,1994-5-27,,
K,葡萄牙,25,努诺·门德斯,Nuno Alexandre Tavares Mendes,后卫,2002-6-19,,
K,葡萄牙,6,努内斯,Matheus Luiz Nunes,中场,1998-8-27,,
K,葡萄牙,8,布鲁诺·费尔南德斯,Bruno Miguel Borges Fernandes,中场,1994-9-8,,
K,葡萄牙,10,贝尔纳多·席尔瓦,,中场,1994-8-10,,
K,葡萄牙,15,若昂·内维斯,Joao Pedro Goncalves Neves,中场,2004-9-27,,
K,葡萄牙,21,鲁本·内维斯,Ruben Diogo Da Silva Neves,中场,1997-3-13,,
K,葡萄牙,23,维蒂尼亚,,中场,2000-2-13,,
K,葡萄牙,24,萨穆·科斯塔,Samuel Almeida Costa,中场,2000-11-27,,
K,葡萄牙,7,克里斯蒂亚诺·罗纳尔多,,前锋,1985-2-5,,
K,葡萄牙,9,贡萨洛·拉莫斯,Goncalo Matias Ramos,前锋,2001-6-20,,
K,葡萄牙,11,菲利克斯,Joao Felix Sequeira,前锋,1999-11-10,,
K,葡萄牙,16,特林康,,前锋,1999-12-29,,
K,葡萄牙,17,莱奥,Rafael Leao,前锋,1999-6-10,,
K,葡萄牙,18,佩德罗·内托,Pedro Lomba Neto,前锋,2000-3-9,,
K,葡萄牙,19,贡萨洛·格德斯,Goncalo Manuel Ganchinho Guedes,前锋,1996-11-29,,
K,葡萄牙,26,弗朗西斯科·孔塞桑,,前锋,2002-12-14,,
K,葡萄牙,1,迪奥戈·科斯塔,Diogo Meireles Costa,守门员,1999-9-19,,
K,葡萄牙,12,若泽·萨,,守门员,1993-1-17,,
K,葡萄牙,22,鲁伊·席尔瓦,,守门员,1994-2-7,,
L,克罗地亚,2,斯坦尼西奇,Josip Stanisic,后卫,2000-4-2,,
L,克罗地亚,3,庞格拉契奇,Marin Pongracic,后卫,1997-9-11,,
L,克罗地亚,4,格瓦迪奥尔,Josko Gvardiol,后卫,2002-1-23,,
L,克罗地亚,5,卡莱塔·卡尔,,后卫,1996-9-17,,
L,克罗地亚,6,约瑟普·舒塔洛,Josip Sutalo,后卫,2000-2-28,,
L,克罗地亚,22,卢卡·武什科维奇,Luka Vuskovic,后卫,2007-2-24,,
L,克罗地亚,25,埃尔利奇,Martin Erlic,后卫,1998-1-24,,
L,克罗地亚,7,尼古拉·莫罗,Nikola Moro,中场,1998-3-12,,
L,克罗地亚,8,科瓦契奇,Mateo Kovacic,中场,1994-5-6,,
L,克罗地亚,10,莫德里奇,Luka Modric,中场,1985-9-9,,
L,克罗地亚,13,尼古拉·弗拉西奇,Nikola Vlasic,中场,1997-10-4,,
L,克罗地亚,15,马里奥·帕萨利奇,Mario Pasalic,中场,1995-2-9,,
L,克罗地亚,16,马丁·巴图里纳,Martin Baturina,中场,2003-2-16,,
L,克罗地亚,17,佩塔尔·苏契奇,Petar Sucic,中场,2003-10-25,,
L,克罗地亚,18,克里斯蒂安·贾基奇,Kristijan Jakic,中场,1997-5-14,,
L,克罗地亚,19,托尼·弗鲁克,Toni Fruk,中场,2001-3-9,,
L,克罗地亚,21,卢卡·苏契奇,Luka Sucic,中场,2002-9-8,,
L,克罗地亚,9,克拉马里奇,Andrej Kramaric,前锋,1991-6-19,,
L,克罗地亚,11,布迪米尔,Ante Budimir,前锋,1991-7-22,,
L,克罗地亚,14,伊万·佩里西奇,Ivan Perisic,前锋,1989-2-2,,
L,克罗地亚,20,伊戈尔·马塔诺维奇,Igor Matanovic,前锋,2003-3-31,,
L,克罗地亚,24,马尔科·帕沙利奇,Marco Pasalic,前锋,2000-9-14,,
L,克罗地亚,26,皮特·穆萨,Petar Musa,前锋,1998-3-4,,
L,克罗地亚,1,多米尼克·利瓦科维奇,Dominik Livakovic,守门员,1995-1-9,,
L,克罗地亚,12,潘杜尔,Ivor Pandur,守门员,2000-3-25,,
L,克罗地亚,23,多米尼克·科塔尔斯基,Dominik Kotarski,守门员,2000-2-10,,
L,加纳,2,阿里杜·塞杜,Alidu Seidu,后卫,2000-6-4,,
L,加纳,4,乔纳斯·阿杰蒂,Jonas Adjetey,后卫,2003-12-13,,
L,加纳,6,阿卜杜勒·穆明,Abdul Mumin,后卫,1998-6-6,,
L,加纳,14,吉迪翁·门萨,Gideon Mensah,后卫,1998-7-18,,
L,加纳,17,拉赫曼,Abdul Rahman Baba,后卫,1994-7-2,,
L,加纳,18,杰罗姆·奥波库,Jerome Opoku,后卫,1998-10-14,,
L,加纳,21,科乔·奥蓬,Kojo Peprah Oppong,后卫,2004-6-4,,
L,加纳,23,德里克·卢卡森,Derrick Luckassen,后卫,1995-7-3,,
L,加纳,26,马文·塞纳亚,Marvin Senaya,后卫,2001-1-28,,
L,加纳,3,迦勒·伊连基,Caleb Yirenkyi,中场,2006-1-15,,
L,加纳,5,托马斯·帕尔特伊,Thomas Teye Partey,中场,1993-6-13,,
L,加纳,8,夸西·西波,Kwasi Sibo,中场,1998-6-24,,
L,加纳,15,伊莱沙·奥乌苏,Elisha Owusu,中场,1997-11-7,,
L,加纳,22,卡迈勒丁·苏莱曼纳,Kamaldeen Sulemana,中场,2002-2-15,,
L,加纳,7,法塔武,Abdul Fatawu Issahaku,前锋,2004-3-8,,
L,加纳,9,乔丹·阿尤,Jordan Pierre Ayew,前锋,1991-9-11,,
L,加纳,10,布兰登·阿桑特,Brandon Thomas Asante,前锋,1998-12-29,,
L,加纳,11,安托万·塞梅尼奥,Antoine Semenyo,前锋,2000-1-7,,
L,加纳,13,克里斯托弗·巴阿,Christopher Bonsu Baah,前锋,2004-12-14,,
L,加纳,19,伊尼亚基·威廉斯,Inaki Williams Dannis,前锋,1994-6-15,,
L,加纳,20,奥古斯丁·博阿凯,Augustine Boakye,前锋,2000-11-3,,
L,加纳,24,欧内斯特·努瓦马,Ernest Appiah Nuamah,前锋,2003-11-1,,
L,加纳,25,夸贝纳·阿杜,Prince Kwabena Adu,前锋,2003-9-23,,
L,加纳,1,劳伦斯·阿蒂齐吉,Lawrence Ati Zigi,守门员,1996-11-29,,
L,加纳,12,约瑟夫·阿南,Joseph Tetteh Anang,守门员,2000-6-8,,
L,加纳,16,本杰明·阿萨雷,Benjamin Asare,守门员,1992-7-13,,
L,巴拿马,2,塞萨尔·布莱克曼,Cesar Blackman,后卫,1998-4-2,,
L,巴拿马,3,何塞·科尔多瓦,Jose Cordoba,后卫,2001-6-3,,
L,巴拿马,4,菲德尔·埃斯科瓦尔,Fidel Escobar Mendieta,后卫,1995-1-9,,
L,巴拿马,5,埃德加·法里尼亚,Edgardo Farina,后卫,2001-10-19,,
L,巴拿马,13,希奥瓦尼·拉莫斯,Jiovany Ramos,后卫,1997-1-26,,
L,巴拿马,15,埃里克·戴维斯,Eric Davis,后卫,1991-3-31,,
L,巴拿马,16,安德烈斯·安德拉德,Andres Alberto Andrade Cedeno,后卫,1998-10-16,,
L,巴拿马,23,穆里略,Michael Amir Murillo Bermudez,后卫,1996-2-11,,
L,巴拿马,25,罗德里克·米勒,Roderick Alonso Miller Molina,后卫,1992-4-3,,
L,巴拿马,26,豪尔赫·古铁雷斯,Jorge Abdiel Gutierrez Cornejo,后卫,1998-9-1,,
L,巴拿马,6,克里斯蒂安·马丁内斯,Christian Jesus Martinez,中场,1997-2-6,,
L,巴拿马,7,何塞·罗德里格斯,,中场,1998-6-19,,
L,巴拿马,8,卡拉斯基利亚,Adalberto Eliecer Carrasquilla Alcazar,中场,1998-11-28,,
L,巴拿马,10,伊斯梅尔·迪亚斯,Ismael Diaz De Leon,中场,1997-5-12,,
L,巴拿马,11,乔尔·巴尔塞纳斯,Edgar Joel Barcenas Herrera,中场,1993-10-23,,
L,巴拿马,14,卡洛斯·哈维,Carlos Miguel Harvey Cesneros,中场,2000-2-3,,
L,巴拿马,19,乔纳森·昆特罗,Jonathan Alberto Quintero Quintana,中场,1995-3-17,,
L,巴拿马,20,阿尼巴尔·戈多伊,Anibal Godoy,中场,1990-2-10,,
L,巴拿马,21,塞萨尔·亚尼斯,Cesar Yanis,中场,1996-1-28,,
L,巴拿马,9,托马斯·罗德里格斯,Tomas Abdiel Rodriguez Mena,前锋,1999-3-9,,
L,巴拿马,17,何塞·法哈多,Jose Fajardo Nelson,前锋,1993-8-18,,
L,巴拿马,18,塞西利奥·沃特曼,Cecilio Alfonso Waterman Ruiz,前锋,1991-4-13,,
L,巴拿马,24,阿扎里亚斯·隆多尼奥,Azarias Londono,前锋,2001-6-21,,
L,巴拿马,1,路易斯·梅西亚,Luis Mejia,守门员,1991-3-16,,
L,巴拿马,12,塞萨尔·萨穆迪奥,Cesar Jair Samudio Murillo,守门员,1994-2-23,,
L,巴拿马,22,奥兰多·莫斯克拉,Orlando Mosquera,守门员,1994-12-25,,
L,英格兰,2,孔萨,Ezri Konsa Ngoyo,后卫,1997-10-23,,
L,英格兰,5,斯通斯,John Stones,后卫,1994-5-28,,
L,英格兰,6,马克·格伊,Marc Guehi,后卫,2000-7-13,,
L,英格兰,12,利夫拉门托,Valentino Francisco Livramento,后卫,2002-11-12,,
L,英格兰,15,丹·伯恩,Daniel Johnson Burn,后卫,1992-5-9,,
L,英格兰,24,里斯·詹姆斯,Reece James,后卫,1999-12-8,,
L,英格兰,25,杰德·斯宾塞,Djed Spence,后卫,2000-8-9,,
L,英格兰,26,贾雷尔·宽萨,Jarell Quansah,后卫,2003-1-29,,
L,英格兰,3,尼科·奥赖利,,中场,2005-3-21,,
L,英格兰,4,德克兰·赖斯,Declan Rice,中场,1999-1-14,,
L,英格兰,8,埃利奥特·安德森,Elliot Anderson,中场,2002-11-6,,
L,英格兰,10,贝林厄姆,Jude Bellingham,中场,2003-6-29,,
L,英格兰,14,亨德森,Jordan Henderson,中场,1990-6-17,,
L,英格兰,16,科比·梅努,Kobbie Mainoo,中场,2005-4-19,,
L,英格兰,21,埃泽,Eberechi Eze,中场,1998-6-29,,
L,英格兰,7,萨卡,Bukayo Saka,前锋,2001-9-5,,
L,英格兰,9,哈里·凯恩,Harry Kane,前锋,1993-7-28,,
L,英格兰,11,拉什福德,Marcus Rashford,前锋,1997-10-31,,
L,英格兰,17,摩根·罗杰斯,Morgan Rogers,前锋,2002-7-26,,
L,英格兰,18,戈登,Anthony Gordon,前锋,2001-2-24,,
L,英格兰,19,沃特金斯,Ollie Watkins,前锋,1995-12-30,,
L,英格兰,20,马杜埃凯,Noni Madueke,前锋,2002-3-10,,
L,英格兰,22,伊万·托尼,Ivan Toney,前锋,1996-3-16,,
L,英格兰,1,皮克福德,Jordan Lee Pickford,守门员,1994-3-7,,
L,英格兰,13,迪安·亨德森,Dean Henderson,守门员,1997-3-12,,
L,英格兰,23,特拉福德,James Trafford,守门员,2002-10-10,,
